file_name,Begin_Time,End_Time,Low_Freq,High_Freq,Center_Freq,Peak_Freq,Call_type,duration,bw
229.enc.61.csv,2136.1753,2136.676952,411.552,1624.549,796.875,843.75,nws.seg,0.501652,1212.997
229.enc.61.csv,2138.358302,2139.846719,1350.844,3264.54,1851.562,1523.438,pulse.flat,1.488417,1913.696
229.enc.61.csv,2664.253491,2665.333971,2884.211,3031.579,2976.562,2976.562,flatws,1.08048,147.368
229.enc.61.csv,2693.328504,2694.526409,652.908,1553.471,914.062,984.375,modws,1.197905,900.563
229.enc.61.csv,2696.817584,2697.666898,2968.421,3157.895,3046.875,3046.875,flatws,0.849314,189.474
229.enc.61.csv,2739.545246,2740.422305,1256.318,2071.795,1453.125,1781.25,modws.seg,0.877059,815.477
229.enc.61.csv,2742.503055,2743.099214,1429.603,1841.155,1687.5,1757.812,dws,0.596159,411.552
229.enc.61.csv,2786.874612,2787.255556,1600,1768.421,1710.938,1710.938,flatws,0.380944,168.421
229.enc.61.csv,2802.625853,2802.938555,526.316,1250.6,773.438,796.875,dws,0.312702,724.284
229.enc.61.csv,2803.094951,2803.555972,526.316,736.842,632.812,632.812,flatws,0.461021,210.526
229.enc.61.csv,3038.699355,3039.464726,757.895,926.316,867.188,867.188,flatws,0.765371,168.421
229.enc.61.csv,3134.6913,3135.386408,630.394,3031.579,960.938,843.75,pulse.flat.seg.3,0.695108,2401.185
229.enc.61.csv,3161.461026,3161.808323,517.824,1035.647,843.75,867.188,dws,0.347297,517.823
229.enc.61.csv,3164.305384,3164.906264,1485.929,2318.949,1851.562,1851.562,dws,0.60088,833.02
229.enc.61.csv,3164.619778,3165.033227,517.824,855.535,726.562,750,dws,0.413449,337.711
229.enc.61.csv,3165.27133,3165.672219,1536.842,2063.158,1804.688,1851.562,dws,0.400889,526.316
229.enc.61.csv,3197.422265,3198.273884,562.852,1440.901,843.75,843.75,modws,0.851619,878.049
229.enc.61.csv,3199.939938,3201.392446,720.45,2093.809,867.188,867.188,dws.seq.t,1.452508,1373.359
229.enc.61.csv,3206.538796,3206.897119,1407.942,2057.762,1757.812,1734.375,uws,0.358323,649.82
229.enc.61.csv,3207.768119,3208.08234,631.579,1342.96,890.625,820.312,dws,0.314221,711.381
229.enc.61.csv,3209.173081,3209.525891,1328.33,2206.379,1804.688,1921.875,dws,0.35281,878.049
229.enc.61.csv,3234.502372,3235.295812,607.88,1992.78,960.938,1007.812,dws,0.79344,1384.9
229.enc.61.csv,3237.147516,3238.09065,562.852,2352.4,1031.25,1007.812,dws,0.943134,1789.548
229.enc.61.csv,3244.017357,3244.251239,757.895,923.077,843.75,820.312,flatws,0.233882,165.182
229.enc.61.csv,3244.492917,3245.354383,736.842,945.591,843.75,820.312,flatws.seg,0.861466,208.749
229.enc.61.csv,3270.889783,3271.410598,842.105,1052.632,1007.812,1031.25,flatws,0.520815,210.527
229.enc.61.csv,3283.723828,3284.263915,610.526,1031.579,867.188,867.188,dws,0.540087,421.053
229.enc.61.csv,3293.134404,3293.594372,450.281,1035.647,890.625,890.625,dws,0.459968,585.366
229.enc.61.csv,3293.877073,3294.615903,673.684,923.077,796.875,750,flatws,0.73883,249.393
229.enc.61.csv,3317.801778,3318.16926,842.105,1010.526,937.5,914.062,flatws,0.367482,168.421
229.enc.61.csv,3333.951483,3334.293268,495.31,1215.76,726.562,632.812,dws,0.341785,720.45
229.enc.61.csv,3394.56701,3395.656391,1410.526,2105.263,1710.938,1710.938,dws,1.089381,694.737
229.enc.61.csv,3447.469155,3448.209687,715.789,968.421,820.312,820.312,flatws,0.740532,252.632
229.enc.61.csv,3468.653997,3469.09943,757.895,1326.316,914.062,890.625,aws,0.445433,568.421
229.enc.61.csv,3483.27038,3485.078296,1726.316,1936.842,1828.125,1828.125,flatws.seg,1.807916,210.526
229.enc.61.csv,3490.084915,3491.748647,1705.263,1936.842,1828.125,1875,flatws.seg,1.663732,231.579
229.enc.61.csv,3494.838122,3496.284919,1705.263,1957.895,1851.562,1828.125,flatws.seg,1.446797,252.632
229.enc.61.csv,3499.3384,3500.790136,1789.474,1978.947,1898.438,1898.438,flatws.seg,1.451736,189.473
229.enc.61.csv,3503.877767,3505.551707,1747.368,1936.842,1828.125,1828.125,flatws.seg,1.67394,189.474
229.enc.61.csv,3513.458606,3513.831655,694.737,1263.158,984.375,1031.25,nws,0.373049,568.421
229.enc.61.csv,3515.303814,3515.585545,610.526,1125.704,960.938,960.938,modws,0.281731,515.178
229.enc.61.csv,3515.611759,3516.336794,821.053,989.474,890.625,890.625,flatws,0.725035,168.421
229.enc.61.csv,3547.788234,3548.38432,715.789,989.474,796.875,796.875,flatws,0.596086,273.685
229.enc.61.csv,3610.134113,3610.485314,1553.471,1958.724,1781.25,1781.25,dws,0.351201,405.253
229.enc.61.csv,3627.78627,3628.409201,433.7,1395.872,726.562,656.25,dws,0.622931,962.172
229.enc.61.csv,3680.732796,3681.190346,778.947,968.421,890.625,867.188,flatws,0.45755,189.474
229.enc.61.csv,4109.070732,4109.655074,1747.368,1978.947,1921.875,1945.312,flatws,0.584342,231.579
229.enc.61.csv,4109.79289,4110.153599,1440.901,1846.154,1734.375,1734.375,dws,0.360709,405.253
229.enc.69.csv,535.6532393,535.9288722,1559.792,2038.128,1734.375,1734.375,dws,0.2756329,478.336
229.enc.69.csv,653.7899615,654.3357145,1622.184,2225.303,1851.562,1945.312,dws,0.545753,603.119
229.enc.69.csv,729.2440327,730.0982852,1788.562,2641.248,1968.75,1968.75,dws.seg,0.8542525,852.686
229.enc.69.csv,733.7986181,734.8059448,1871.75,3452.34,2367.188,2015.625,dws.seg,1.0073267,1580.59
229.enc.69.csv,734.1258658,734.4676505,1600,1743.59,1687.5,1687.5,flatws,0.3417847,143.59
229.enc.69.csv,814.729859,815.4299664,1954.939,2441.026,2156.25,2203.125,dws,0.7001074,486.087
229.enc.69.csv,817.8284752,818.2460681,1743.59,2174.359,1875,1945.312,dws,0.4175929,430.769
229.enc.69.csv,822.3551607,822.9900503,1643.527,2058.925,1898.438,1921.875,dws,0.6348896,415.398
229.enc.69.csv,922.7725457,923.0441289,943.59,1087.179,1007.812,984.375,flatws,0.2715832,143.589
229.enc.69.csv,943.5253541,945.1026216,1206.239,2433.276,1664.062,1593.75,modws.seg,1.5772675,1227.037
229.enc.69.csv,974.6747325,975.3058278,1476.603,2225.303,1757.812,1757.812,dws,0.6310953,748.7
229.enc.69.csv,978.0994089,978.3915797,1125.704,1666.041,1359.375,1406.25,uws,0.2921708,540.337
229.enc.69.csv,1029.016737,1029.330981,1518.198,2100.52,1710.938,1664.062,dws,0.314244,582.322
229.enc.69.csv,1057.477371,1057.791592,943.59,1107.692,1031.25,1031.25,flatws,0.314221,164.102
229.enc.69.csv,1057.824668,1058.100301,1456.41,1702.564,1593.75,1593.75,flatws,0.275633,246.154
229.enc.69.csv,1095.97574,1096.786101,707.106,1666.041,914.062,890.625,modws,0.810361,958.935
229.enc.69.csv,1115.907569,1116.386408,1169.231,1353.846,1265.625,1265.625,flatws,0.478839,184.615
229.enc.69.csv,1116.405779,1116.747193,1598.499,2093.809,1851.562,1875,dws,0.341414,495.31
229.enc.69.csv,1175.922338,1176.929665,1497.4,2329.289,1992.188,1875,modws,1.007327,831.889
229.enc.69.csv,1177.803669,1178.440655,1107.692,1372.617,1195.312,1171.875,flatws,0.636986,264.925
229.enc.69.csv,1178.425841,1178.751741,1538.995,2225.303,1921.875,1945.312,dws,0.3259,686.308
229.enc.69.csv,1519.259547,1519.561643,1393.414,2142.114,1687.5,1546.875,uws,0.302096,748.7
229.enc.69.csv,1703.438996,1703.725654,1538.995,2183.709,1898.438,1945.312,dws,0.286658,644.714
229.enc.69.csv,1815.040433,1815.619262,717.949,923.077,820.312,796.875,flatws,0.578829,205.128
229.enc.69.csv,1886.984633,1887.368709,1372.617,1767.764,1570.312,1570.312,dws,0.384076,395.147
229.enc.69.csv,1973.13305,1973.436246,1497.436,1705.373,1593.75,1593.75,flatws,0.303196,207.937
229.enc.69.csv,3056.719732,3057.14531,1907.692,2092.308,1992.188,1992.188,flatws,0.425578,184.616
229.enc.69.csv,3405.504692,3406.119215,1185.442,2953.206,2062.5,2132.812,dws.seg,0.614523,1767.764
229.enc.116.csv,242.2546764,242.8351837,686.941,927.944,796.875,796.875,flatws,0.5805073,241.003
229.enc.116.csv,244.1951314,244.6140932,708.408,901.61,796.875,796.875,flatws,0.4189618,193.202
229.enc.116.csv,285.7890716,286.2848796,794.275,991.213,890.625,890.625,flatws,0.495808,196.938
229.enc.116.csv,289.9613906,290.4244537,772.809,966.011,890.625,914.062,flatws,0.4630631,193.202
229.enc.116.csv,291.5711344,292.0701389,772.809,966.011,843.75,843.75,flatws,0.4990045,193.202
229.enc.116.csv,293.4729526,294.1503068,506.151,1223.199,843.75,820.312,modws,0.6773542,717.048
229.enc.116.csv,301.3395755,301.7199487,1373.358,1778.612,1617.188,1687.5,dws,0.3803732,405.254
229.enc.116.csv,308.7986614,309.1152083,476.2,1054.482,796.875,750,aws,0.3165469,578.282
229.enc.116.csv,368.7127844,369.1262336,590.51,1096.661,796.875,820.312,dws,0.4134492,506.151
229.enc.116.csv,421.6829539,422.1278853,1349.736,2045.694,1710.938,1734.375,dws,0.4449314,695.958
229.enc.116.csv,516.8582391,517.6137341,5957.895,8878.735,7031.25,6773.438,modws.seg,0.755495,2920.84
229.enc.116.csv,523.9828837,524.346719,695.958,991.213,843.75,890.625,dws,0.3638353,295.255
229.enc.116.csv,624.3539156,625.2304356,3079.086,4323.374,3914.062,4171.875,dws.seg,0.87652,1244.288
229.enc.116.csv,688.2096004,689.3164472,1349.736,6052.724,2976.562,3000,pulse.flat,1.1068468,4702.988
229.enc.116.csv,717.7871197,718.7518345,1373.358,3106.942,2835.938,2953.125,pulse.flat,0.9647148,1733.584
229.enc.116.csv,736.3941994,736.8884936,590.51,800,703.125,703.125,flatws,0.4942942,209.49
229.enc.116.csv,742.522518,743.1592606,3690.685,4934.974,4125,3984.375,modws,0.6367426,1244.289
229.enc.116.csv,748.2833058,748.9409552,5947.276,9831.579,7406.25,7570.312,modws.seg,0.6576494,3884.303
229.enc.116.csv,749.8223789,750.3635778,485.062,1075.571,843.75,867.188,dws,0.5411989,590.509
229.enc.116.csv,750.4054771,750.8943018,316.344,1054.482,726.562,796.875,dws,0.4888247,738.138
229.enc.116.csv,919.0981128,920.0793656,717.047,12000,2296.875,914.062,pulse.flat.seg,0.9812528,11282.953
229.enc.116.csv,921.5432572,921.9471734,444.4,2172.232,1007.812,1031.25,pulse.d,0.4039162,1727.832
229.enc.116.csv,966.9631205,967.8506391,698.4,10401.501,1593.75,1593.75,pulse.d,0.8875186,9703.101
229.enc.116.csv,973.5198414,973.9332906,738.137,926.316,843.75,843.75,flatws,0.4134492,188.179
229.enc.116.csv,975.6863153,976.1218151,757.895,947.368,843.75,843.75,flatws,0.4354998,189.473
229.enc.116.csv,976.3257834,977.9705712,822.496,12000,3867.188,3585.938,pulse.flat.seg,1.6447878,11177.504
229.enc.116.csv,982.4145434,982.805942,1326.316,1515.789,1406.25,1406.25,flatws,0.3913986,189.473
229.enc.116.csv,985.6173967,987.3373454,1012.302,11936.5,3750,3750,pulse.flat.seg,1.7199487,10924.198
229.enc.116.csv,987.0915059,987.8467398,631.579,800,750,773.438,flatws,0.7552339,168.421
229.enc.116.csv,988.6626129,989.4178468,1434.095,6537.786,1570.312,1593.75,pulse.flat,0.7552339,5103.691
229.enc.116.csv,996.8373905,997.2193981,738.137,926.316,867.188,867.188,flatws,0.3820076,188.179
229.enc.116.csv,998.3667543,999.1021498,673.684,820.194,750,750,flatws,0.7353955,146.51
229.enc.116.csv,998.5029269,999.2082312,783.92,1010.526,867.188,867.188,flatws.seg,0.7053043,226.606
229.enc.116.csv,1000.845857,1001.330971,757.895,926.316,867.188,867.188,flatws,0.485114,168.421
229.enc.116.csv,1003.398217,1003.683579,842.105,1054.482,937.5,960.938,flatws.seg,0.285362,212.377
229.enc.116.csv,1003.915659,1004.396008,715.789,947.368,867.188,867.188,flatws,0.480349,231.579
229.enc.116.csv,1007.180143,1007.649241,757.895,968.421,867.188,867.188,flatws,0.469098,210.526
229.enc.116.csv,1007.771772,1008.593158,1328.33,11887.43,4289.062,4289.062,pulse.flat,0.821386,10559.1
229.enc.116.csv,1010.167568,1010.531403,736.842,926.316,843.75,843.75,flatws,0.363835,189.474
229.enc.116.csv,1011.43936,1012.394975,1103.189,11864.916,4335.938,4312.5,pulse.flat,0.955615,10761.727
229.enc.116.csv,1014.615208,1015.621402,1602.812,12000,4007.812,2976.562,pulse.flat,1.006194,10397.188
229.enc.116.csv,1015.326196,1015.731656,736.842,1031.579,843.75,796.875,flatws,0.40546,294.737
229.enc.116.csv,1026.45809,1027.132508,926.316,1852.632,1406.25,1406.25,dws,0.674418,926.316
229.enc.116.csv,1026.47904,1026.863117,778.947,968.421,890.625,890.625,flatws,0.384077,189.474
229.enc.116.csv,1030.512306,1030.871082,736.842,926.316,867.188,867.188,flatws,0.358776,189.474
229.enc.116.csv,1040.289033,1040.934014,1515.789,1687.17,1593.75,1593.75,flatws,0.644981,171.381
229.enc.116.csv,1060.048161,1060.589295,1581.722,1852.632,1710.938,1710.938,flatws,0.541134,270.91
229.enc.116.csv,1080.146632,1081.2216,759.227,10797.891,960.938,960.938,pulse.flat,1.074968,10038.664
229.enc.116.csv,1097.723452,1098.770934,180,12000,3328.125,3304.688,pulse.flat,1.047482,11820
229.enc.116.csv,1104.650473,1105.981761,1391.916,11940,4312.5,4289.062,pulse.flat,1.331288,10548.084
229.enc.116.csv,1118.183816,1118.722044,717.047,8752.197,1710.938,1710.938,pulse.flat,0.538228,8035.15
229.enc.116.csv,1120.448714,1122.65376,1075.571,11940,4265.625,4195.312,pulse.flat.seg,2.205046,10864.429
229.enc.116.csv,1130.697864,1130.914346,5398.946,7297.012,5859.375,5718.75,dws,0.216482,1898.066
229.enc.116.csv,1146.805942,1147.213879,778.947,926.316,867.188,843.75,flatws,0.407937,147.369
229.enc.116.csv,1149.352789,1149.734623,757.895,905.263,843.75,867.188,flatws,0.381834,147.368
229.enc.116.csv,1159.989491,1160.232047,358.524,991.213,679.688,703.125,aws,0.242556,632.689
229.enc.116.csv,1202.138911,1203.732068,1307.557,9511.424,4265.625,4289.062,pulse.flat.seg,1.593157,8203.867
229.enc.116.csv,1204.070222,1204.801524,1328.647,6980.668,1570.312,1570.312,pulse.flat,0.731302,5652.021
229.enc.116.csv,1205.752055,1206.411219,717.047,7655.536,843.75,843.75,pulse.flat,0.659164,6938.489
229.enc.116.csv,1206.785806,1207.221306,3000,11910,5367.188,3656.25,pulse.mod,0.4355,8910
229.enc.116.csv,1218.167044,1218.613569,690,11325.132,1453.125,1687.5,pulse.d,0.446525,10635.132
229.enc.116.csv,1247.194129,1247.927366,1919.156,11970,3539.062,3421.875,pulse.a,0.733237,10050.844
229.enc.116.csv,1248.127885,1248.667587,801.406,9300.527,1101.562,1078.125,pulse.a,0.539702,8499.121
229.enc.116.csv,1249.026448,1249.645236,1413.005,11880,4265.625,1523.438,pulse.flat,0.618788,10466.995
229.enc.116.csv,1272.336809,1272.689619,695.958,1075.571,890.625,890.625,aws,0.35281,379.613
229.enc.116.csv,1285.407395,1285.760837,1265.378,1792.619,1523.438,1593.75,dws,0.353442,527.241
229.enc.116.csv,1294.930011,1295.584398,5525.483,7655.536,6843.75,5671.875,modws.m,0.654387,2130.053
229.enc.116.csv,1324.32855,1326.169763,1328.647,9933.216,1617.188,1617.188,pulse.flat.seg,1.841213,8604.569
229.enc.116.csv,1332.436637,1333.053495,1370.826,10882.25,1664.062,1687.5,pulse.a,0.616858,9511.424
229.enc.116.csv,1332.732888,1334.538647,1455.185,10439.367,1640.625,1640.625,pulse.flat,1.805759,8984.182
229.enc.116.csv,1333.285303,1334.292133,632.689,2454.034,1617.188,1640.625,pulse.flat.seg.2,1.00683,1821.345
229.enc.116.csv,1349.786111,1350.234385,505.263,736.842,632.812,679.688,flatws,0.448274,231.579
229.enc.116.csv,1355.762717,1357.774837,337.434,9388.368,609.375,562.5,pulse.d.seg,2.01212,9050.934
229.enc.116.csv,1364.742859,1365.035822,3163.445,3621.053,3375,3421.875,dws,0.292963,457.608
229.enc.116.csv,1371.9129,1373.065045,2319.859,4336.842,3796.875,2882.812,modws,1.152145,2016.983
229.enc.116.csv,1396.703779,1398.413126,2568.421,4400,3703.125,3750,modws,1.709347,1831.579
